,,,,,
id,lon,lat,hora,fecha,date
91,-75.62218,6.22363,15:30,2017-12-20,2017-12-20 15:30
92,-75.61140,6.21048,18:10,2017-12-20,2017-12-20 18:10
93,-75.62100,6.24039,12:03,2017-12-21,2017-12-21 12:03
94,-75.61800,6.26332,12:40,2017-12-21,2017-12-21 12:40
95,-75.62074,6.28125,13:05,2017-12-21,2017-12-21 13:05
96,-75.64868,6.26462,15:25,2017-12-21,2017-12-21 15:25
97,-75.53224,6.29414,16:45,2017-12-21,2017-12-21 16:45
98,-75.53877,6.25008,16:50,2017-12-21,2017-12-21 16:50
99,-75.47903,6.38909,8:40,2017-12-23,2017-12-23 8:40
100,-75.62273,6.25850,12:20,2017-12-23,2017-12-23 12:20
101,-75.62359,6.26509,15:10,2017-12-27,2017-12-27 15:10
102,-75.63400,6.24400,15:00,2018-01-23,2018-01-23 15:00
103,-75.61300,6.21300,11:10,2018-01-24,2018-01-24 11:10
104,-75.64470,6.25703,7:00,2018-01-29,2018-01-29 7:00
105,-75.63510,6.25208,15:40,2018-01-29,2018-01-29 15:40
106,-75.64221,6.26252,15:50,2018-01-29,2018-01-29 15:50
107,-75.62790,6.24750,13:15,2018-01-31,2018-01-31 13:15
108,-75.60860,6.27673,14:15,2018-01-31,2018-01-31 14:15
109,-75.61140,6.21048,13:10,2018-02-02,2018-02-02 13:10
110,-75.62000,6.23000,14:20,2018-02-04,2018-02-04 14:20
111,-75.53900,6.27300,12:25,2018-02-06,2018-02-06 12:25
112,-75.56159,6.35434,16:21,2018-02-06,2018-02-06 16:21
113,-75.61600,6.21900,13:55,2018-02-09,2018-02-09 13:55
114,-75.61900,6.20900,14:30,2018-02-09,2018-02-09 14:30
115,-75.63400,6.25300,17:40,2018-02-09,2018-02-09 17:40
116,-75.63500,6.25200,7:00,2018-02-10,2018-02-10 7:00
117,-75.62621,6.24252,14:40,2018-02-10,2018-02-10 14:40
118,-75.60760,6.26752,16:15,2018-02-11,2018-02-11 16:15
119,-75.62300,6.22500,15:00,2018-02-16,2018-02-16 15:00
120,-75.52900,6.26900,12:20,2018-02-21,2018-02-21 12:20
121,-75.61200,6.21300,16:00,2018-02-22,2018-02-22 16:00
122,-75.62131,6.24506,15:21,2018-02-27,2018-02-27 15:21
123,-75.60783,6.26784,9:30,2018-02-28,2018-02-28 9:30
124,-75.64460,6.25950,14:30,2018-02-28,2018-02-28 14:30
125,-75.52889,6.35583,16:35,2018-03-04,2018-03-04 16:35
126,-75.65144,6.26727,15:10,2018-03-07,2018-03-07 15:10
127,-75.53749,6.25967,14:30,2018-03-10,2018-03-10 14:30
128,-75.60954,6.20394,14:30,2018-03-10,2018-03-10 14:30
129,-75.62435,6.24765,16:00,2018-03-10,2018-03-10 16:00
130,-75.63099,6.25181,16:39,2018-03-10,2018-03-10 16:39
131,-75.63198,6.23973,17:20,2018-03-10,2018-03-10 17:20
132,-75.52950,6.29500,13:40,2018-03-11,2018-03-11 13:40
133,-75.53600,6.26840,11:01,2018-03-12,2018-03-12 11:01
134,-75.62500,6.24800,15:48,2018-03-14,2018-03-14 15:48
135,-75.62370,6.31000,12:51,2018-03-16,2018-03-16 12:51
136,-75.63198,6.23973,13:28,2018-03-16,2018-03-16 13:28
137,-75.63600,6.27100,13:59,2018-03-16,2018-03-16 13:59
138,-75.61200,6.21300,16:44,2018-03-16,2018-03-16 16:44
139,-75.61140,6.21048,16:46,2018-03-16,2018-03-16 16:46
140,-75.61700,6.21400,15:18,2018-03-17,2018-03-17 15:18
141,-75.63778,6.11361,11:50,2018-03-17,2018-03-17 11:50
142,-75.61513,6.26921,13:40,2018-03-19,2018-03-19 13:40
143,-75.59800,6.30100,14:00,2018-03-19,2018-03-19 14:00
144,-75.61000,6.30060,10:15,2018-03-20,2018-03-20 10:15
145,-75.63600,6.29500,12:30,2018-03-20,2018-03-20 12:30
146,-75.60106,6.27329,14:10,2018-04-20,2018-04-20 14:10
147,-75.62312,6.14628,12:03,2018-04-21,2018-04-21 12:03
148,-75.61653,6.26406,15:07,2018-04-22,2018-04-22 15:07
149,-75.57116,6.24231,13:02,2018-04-24,2018-04-24 13:02
150,-75.60491,6.22597,12:06,2018-06-06,2018-06-06 12:06
151,-75.63232,6.26949,14:42,2018-06-07,2018-06-07 14:42
152,-75.64140,6.26786,11:45,2018-06-10,2018-06-10 11:45
153,-75.63173,6.24404,11:50,2018-06-10,2018-06-10 11:50
154,-75.53844,6.27827,10:40,2018-06-11,2018-06-11 10:40
155,-75.63099,6.24850,13:25,2018-06-11,2018-06-11 13:25
156,-75.62508,6.31830,15:50,2018-06-16,2018-06-16 15:50
157,-75.63950,6.26430,13:20,2018-06-17,2018-06-17 13:20
158,-75.61310,6.29189,9:10,2018-06-20,2018-06-20 9:10
159,-75.53590,6.24989,13:45,2018-06-20,2018-06-20 13:45
160,-75.62490,6.28640,11:45,2018-06-26,2018-06-26 11:45
161,-75.62059,6.25323,11:50,2018-07-01,2018-07-01 11:50
162,-75.63680,6.22710,15:30,2018-07-04,2018-07-04 15:30
163,-75.62030,6.22070,11:55,2018-07-06,2018-07-06 11:55
164,-75.54056,6.24319,8:05,2018-07-09,2018-07-09 8:05
165,-75.52697,6.24821,11:40,2018-07-09,2018-07-09 11:40
166,-75.63450,6.25350,15:15,2018-07-11,2018-07-11 15:15
167,-75.63300,6.22600,12:33,2018-07-13,2018-07-13 12:33
168,-75.52200,6.23500,17:33,2018-07-13,2018-07-13 17:33
169,-75.63400,6.22000,17:38,2018-07-13,2018-07-13 17:38
170,-75.63237,6.25441,13:25,2018-07-14,2018-07-14 13:25
171,-75.62880,6.24164,15:27,2018-07-14,2018-07-14 15:27
172,-75.55961,6.36072,15:48,2018-07-14,2018-07-14 15:48
173,-75.61978,6.28379,12:37,2018-07-16,2018-07-16 12:37
174,-75.60302,6.26917,15:48,2018-07-16,2018-07-16 15:48
175,-75.62591,6.25752,13:15,2018-07-19,2018-07-19 13:15
176,-75.60535,6.27166,14:30,2018-07-19,2018-07-19 14:30
177,-75.61871,6.23974,16:50,2018-07-19,2018-07-19 16:50
178,-75.64391,6.19601,16:55,2018-07-19,2018-07-19 16:55
179,-75.61809,6.30431,14:39,2018-07-28,2018-07-28 14:39
180,-75.51580,6.23180,12:08,2018-08-01,2018-08-01 12:08
181,-75.63230,6.26160,13:45,2018-08-01,2018-08-01 13:45
182,-75.62728,6.26387,15:25,2018-08-07,2018-08-07 15:25
183,-75.63854,6.26555,18:37,2018-08-07,2018-08-07 18:37
184,-75.63033,6.24477,10:00,2018-08-08,2018-08-08 10:00
185,-75.63033,6.24477,15:35,2018-08-08,2018-08-08 15:35
186,-75.60525,6.26993,15:45,2018-08-08,2018-08-08 15:45
187,-75.61820,6.26390,14:30,2018-08-10,2018-08-10 14:30
188,-75.63155,6.25033,15:01,2018-08-10,2018-08-10 15:01
189,-75.53403,6.24815,13:50,2018-08-11,2018-08-11 13:50
190,-75.59338,6.15311,14:00,2018-08-11,2018-08-11 14:00
191,-75.54342,6.25697,14:25,2018-08-11,2018-08-11 14:25
192,-75.65452,6.16292,14:30,2018-08-11,2018-08-11 14:30
193,-75.62797,6.24451,15:30,2018-08-11,2018-08-11 15:30
194,-75.54576,6.25719,6:12,2018-08-12,2018-08-12 6:12
195,-75.59338,6.15311,12:05,2018-08-12,2018-08-12 12:05
196,-75.61589,6.29628,12:16,2018-08-13,2018-08-13 12:16
197,-75.53210,6.24749,13:07,2018-08-13,2018-08-13 13:07
198,-75.62436,6.20985,13:51,2018-08-13,2018-08-13 13:51
199,-75.53563,6.28708,16:08,2018-08-13,2018-08-13 16:08
200,-75.55401,6.25156,8:44,2018-08-18,2018-08-18 8:44
201,-75.62222,6.27293,16:24,2018-08-18,2018-08-18 16:24
202,-75.61777,6.21278,17:03,2018-08-18,2018-08-18 17:03
203,-75.65077,6.26647,15:55,2018-08-19,2018-08-19 15:55
204,-75.63310,6.23800,14:40,2018-08-20,2018-08-20 14:40
205,-75.60369,6.20745,15:20,2018-08-22,2018-08-22 15:20
